seed,episode,total_reward,epsilon,return_ma50,wall_clock_s
1,1,-4930.533257230126,1.0,-4930.533257230126,0.06273610000062035
1,2,-5606.0,0.997625,-5268.266628615063,0.10918710000260035
1,3,-4933.0,0.99525,-5156.511085743376,0.1554586999991443
1,4,-4944.750413112897,0.992875,-5103.5709175857555,0.19984340000519296
1,5,-5416.0,0.9905,-5166.056734068605,0.2426508000062313
1,6,-5475.888059478571,0.988125,-5217.695288303599,0.2867647000020952
1,7,-5936.829059474262,0.98575,-5320.428684185123,0.33109060000424506
1,8,-5495.359199367027,0.983375,-5342.29499858286,0.3754869000040344
1,9,-5005.109374622468,0.981,-5304.829929253927,0.4204939000046579
1,10,-5258.057626846156,0.978625,-5300.152699013151,0.464740499999607
1,11,-5347.063089919231,0.97625,-5304.417280004613,0.5093496000044979
1,12,-5494.404761611511,0.973875,-5320.2495701385205,0.5536317000005511
1,13,-4932.0,0.9715,-5290.384218589404,0.6070879000035347
1,14,-5432.0,0.969125,-5300.499631547304,0.653352300003462
1,15,-6122.0,0.96675,-5355.266322777484,0.6975558000049205
1,16,-4890.999998607627,0.964375,-5326.249677516867,0.7416993000006187
1,17,-5458.687402890142,0.962,-5334.040131950589,0.7865262000050279
1,18,-4633.0,0.959625,-5295.093457953334,0.8340514000010444
1,19,-4613.561904468177,0.95725,-5259.223376190957,0.8787163000015425
1,20,-5777.415492945779,0.954875,-5285.132982028698,0.9232870000050752
1,21,-5344.228260673757,0.9525,-5287.9470429165585,0.9673089999996591
1,22,-5408.0,0.950125,-5293.40399551126,1.0131091000002925
1,23,-5494.61038954422,0.94775,-5302.15209959965,1.0586024000003817
1,24,-4860.8168043800715,0.945375,-5283.763128965501,1.1330085000008694
1,25,-5817.84731573904,0.9430000000000001,-5305.126496436442,1.1884477999992669
1,26,-4833.0,0.940625,-5286.967785035041,1.2410727000024053
1,27,-5302.0,0.93825,-5287.524533737446,1.2957635999991908
1,28,-5360.999999919533,0.935875,-5290.148657529664,1.349039200002153
1,29,-5171.045454259229,0.9335,-5286.041650520338,1.4120971000011195
1,30,-5458.0,0.931125,-5291.773595502994,1.4612302000023192
1,31,-4669.0,0.92875,-5271.684124680317,1.5074874000056298
1,32,-5262.93737079886,0.926375,-5271.4107886215215,1.5534258000043337
1,33,-5012.368790442679,0.924,-5263.5610311009505,1.5984272000059718
1,34,-5054.0,0.921625,-5257.397471362688,1.7388654000023962
1,35,-5968.980434462067,0.91925,-5277.728413165527,1.8988422000038554
1,36,-5609.0,0.916875,-5286.930401688707,2.0501188000052935
1,37,-5311.0,0.9145,-5287.580931372796,2.223875300005602
1,38,-5166.0,0.912125,-5284.381433178775,2.39427219999925
1,39,-5350.3720770262125,0.9097500000000001,-5286.073500969735,2.559344500004954
1,40,-5044.0,0.907375,-5280.02166344549,2.7146069000009447
1,41,-5119.999999874293,0.905,-5276.118696041315,2.88600420000148
1,42,-5624.597723007037,0.902625,-5284.415815730975,3.058618800001568
1,43,-6132.662921209467,0.90025,-5304.1424926025675,3.2202189000017825
1,44,-5821.0,0.897875,-5315.8892541343275,3.382197900005849
1,45,-5342.748972297418,0.8955,-5316.486136760174,3.5420573000010336
1,46,-5542.0,0.893125,-5321.3886120479965,3.7092237000033492
1,47,-5140.529961334256,0.89075,-5317.540555649832,3.8837210000056075
1,48,-4839.9999998828935,0.888375,-5307.591794071354,4.055318700004136
1,49,-4634.919932377106,0.886,-5293.863796893921,4.228702799999155
1,50,-4814.0,0.883625,-5284.266520956042,4.387819100003981
1,51,-4649.4827762124,0.88125,-5278.645511335688,4.561786700003722
1,52,-4866.0,0.878875,-5263.845511335688,4.7340882000062265
1,53,-5303.5979992219745,0.8765000000000001,-5271.2574713201275,4.90236890000233
1,54,-4914.0,0.874125,-5270.64246305787,5.072577500002808
1,55,-5654.865217313707,0.87175,-5275.419767404144,5.244561400002567
1,56,-5410.948453502884,0.869375,-5274.12097528463,5.414800500002457
1,57,-5645.634920158561,0.867,-5268.297092498315,5.587258500003372
1,58,-5361.966666383597,0.864625,-5265.629241838647,5.759275000003981
1,59,-5523.0,0.86225,-5275.987054346198,5.922305200001574
1,60,-5221.805322946837,0.859875,-5275.2620082682115,6.086999200000719
1,61,-5322.997728034952,0.8575,-5274.780701030525,6.258376500001759
1,62,-4971.0,0.855125,-5264.312605798295,6.426857000005839
1,63,-4806.0,0.85275,-5261.792605798296,6.584431100003712
1,64,-4622.999999911921,0.850375,-5245.612605796534,6.757980500005942
1,65,-5705.031249742047,0.848,-5237.273230791376,6.920767100004014
1,66,-5864.0,0.8456250000000001,-5256.733230819223,7.079137600005197
1,67,-5214.661237464476,0.84325,-5251.8527075107095,7.248018199999933
1,68,-4986.821666270868,0.840875,-5258.929140836126,7.4216866999995545
1,69,-5495.2340016265525,0.8385,-5276.562582779295,7.589107400002831
1,70,-5196.1,0.836125,-5264.9362729203785,7.743612700003723
1,71,-6013.0,0.83375,-5278.311707706903,7.89299100000062
1,72,-4979.99999984948,0.831375,-5269.751707703893,8.045636499999091
1,73,-5576.0,0.829,-5271.379499913008,8.218575800005055
1,74,-5403.0,0.8266249999999999,-5282.223163825407,8.39157850000629
1,75,-4864.805077288565,0.82425,-5263.162319056398,8.562829700000293
1,76,-5615.625420670296,0.821875,-5278.814827469804,8.735701900004642
1,77,-5420.499999847312,0.8195,-5281.184827466749,8.901544100001047
1,78,-5285.000396106161,0.817125,-5279.664835390482,9.049676900001941
1,79,-4501.0,0.81475,-5266.263926305298,9.256535600005009
1,80,-5612.561065528254,0.8123750000000001,-5269.355147615864,9.39849680000043
1,81,-5401.670502548567,0.81,-5284.008557666833,9.543386700002884
1,82,-5201.139751413402,0.807625,-5282.772605279125,9.706366900005378
1,83,-5383.196951464213,0.80525,-5290.189168499555,9.868985900000553
1,84,-5440.969880693639,0.802875,-5297.928566113429,10.031360400003905
1,85,-4896.969371305049,0.8005,-5276.488344850288,10.20817380000517
1,86,-4603.0,0.798125,-5256.368344850289,10.383013999999093
1,87,-5526.969554575683,0.79575,-5260.687735941801,10.540969100002258
1,88,-5407.675331120709,0.7933749999999999,-5265.521242564217,10.683835399999225
1,89,-5342.0,0.791,-5265.3538010236925,10.831939700001385
1,90,-5245.0,0.788625,-5269.373801023692,10.992877399999998
1,91,-5522.972134624834,0.78625,-5277.433243718702,11.136800300002506
1,92,-5322.0,0.783875,-5271.381289258562,11.295393400003377
1,93,-5567.0,0.7815,-5260.068030834373,11.445861100000911
1,94,-5477.656149387838,0.7791250000000001,-5253.2011538221295,11.587610599999607
1,95,-5739.399999775196,0.77675,-5261.134174371686,11.731693100002303
1,96,-5195.761403418759,0.774375,-5254.20940244006,11.900246700002754
1,97,-4907.0,0.772,-5249.538803213375,12.057184100005543
1,98,-4853.999999742904,0.769625,-5249.818803210575,12.20464340000035
1,99,-5348.056961824271,0.76725,-5264.081543799518,12.35757040000317
1,100,-4938.0,0.764875,-5266.5615437995175,12.507012800000666
1,101,-5353.155600935927,0.7625,-5280.635000293988,12.664592100001755
1,102,-5076.824561169467,0.760125,-5284.851491517378,12.808822200000577
1,103,-5123.0,0.75775,-5281.239531532938,12.979033900002833
1,104,-5218.567307508106,0.755375,-5287.3308776831,13.152851300001203
1,105,-5350.499999929578,0.753,-5281.243573335419,13.321926800002984
1,106,-5354.0,0.750625,-5280.104604265361,13.488685900003475
1,107,-5744.0,0.7482500000000001,-5282.071905862188,13.661292800003139
1,108,-4998.0201127833925,0.7458750000000001,-5274.792974790184,13.82604849999916
1,109,-4855.102648619483,0.7435,-5261.4350277625745,13.997759199999564
1,110,-4865.777111614345,0.741125,-5254.314463535924,14.173410300005344
1,111,-5087.919345589549,0.73875,-5249.612895887017,14.349356099999568
1,112,-5795.145814803776,0.736375,-5266.095812183093,14.524330300002475
1,113,-5968.192635876206,0.734,-5289.339664900616,14.696879900002386
1,114,-4779.9999997445275,0.731625,-5292.479664897269,14.867739500004973
1,115,-4529.282608490439,0.72925,-5268.964692072236,15.03602200000023
1,116,-5063.262675035115,0.726875,-5252.949945572939,15.212111400003778
1,117,-5701.0,0.7245,-5262.676720823649,15.3882975000015
1,118,-5449.045454381072,0.722125,-5271.921196585854,15.552421400003368
1,119,-4922.0,0.71975,-5260.456516553322,15.694603000003553
1,120,-4434.0,0.7173750000000001,-5245.214516553322,15.838351200000034
1,121,-4832.0,0.7150000000000001,-5221.594516553322,15.991288600002008
1,122,-4760.823529098934,0.7126250000000001,-5217.210987138312,16.147295900002064
1,123,-5464.0,0.71025,-5214.970987138312,16.31874670000252
1,124,-4919.0,0.707875,-5205.290987138312,16.488487900001928
1,125,-4834.298386915421,0.7055,-5204.680853330848,16.66373400000157
1,126,-5212.837270042841,0.703125,-5196.625090318299,16.836918900000455
1,127,-4968.186642260698,0.70075,-5187.578823166567,17.012481600002502
1,128,-5532.874978070422,0.698375,-5192.536314805852,17.186025400005747
1,129,-5584.999999897218,0.696,-5214.216314803797,17.362268500000937
1,130,-4736.0,0.6936249999999999,-5196.685093493231,17.536891700001433
1,131,-5318.0,0.69125,-5195.011683442261,17.686792000000423
