episode,reward_mean,reward_std
1,-5069.059243673405,120.5481313768927
2,-5260.1108233268005,402.048033813831
3,-5281.666666666667,452.48793722411347
4,-5102.409600075265,146.17135831425836
5,-5408.583924189243,163.2504980421133
6,-5324.1301933755285,328.213586126681
7,-5363.943019824754,497.33194228701353
8,-5386.8640687785055,94.17613309421753
9,-4963.03645820749,440.50947517816905
10,-5505.913516832831,355.72212705097155
11,-5221.434288103213,173.1492625371112
12,-5547.085932069749,392.089902530226
13,-5142.666666666667,468.02385979064485
14,-5195.758935444222,223.769302106831
15,-5623.747150086455,594.9303267897922
16,-5180.975123760164,285.0949080719763
17,-5434.947654222196,442.99954519476506
18,-5204.861099229734,590.9418632351411
19,-5068.791423720287,398.00241358023595
20,-5436.692804669458,311.02739245908907
21,-5297.175824469966,244.5142303359495
22,-5218.6779915573525,305.49561121369993
23,-5466.487720655566,44.65308235607583
24,-5045.198599800037,231.70803252662736
25,-5443.174348449399,325.35989033121797
26,-5314.187252666772,428.25513601886416
27,-5523.456473086916,336.16329878457196
28,-5516.548523964578,146.14655003696748
29,-5313.015151419743,193.94985481790397
30,-5443.570036284061,502.58361429787374
31,-5086.80337915112,362.52611167317053
32,-5713.796116001679,399.30790743142495
33,-5449.897231587963,407.10328486470246
34,-5132.0,403.691714059132
35,-5947.564167702163,140.37462562057553
36,-5437.499999928822,170.50879746665632
37,-5051.333333333333,230.69966045344174
38,-5071.646236518277,232.68869818601192
39,-5095.610364429046,267.22535222666056
40,-5372.425687046354,323.05984382923236
41,-5320.891472614887,188.91402615462079
42,-5220.8705372146005,593.0382644620364
43,-5546.8876403742515,525.7314045367796
44,-5119.229166542335,648.6407192689376
45,-5320.749657374792,455.64848290274773
46,-5291.1667424338675,359.624943575646
47,-5106.793195036592,153.87442774326084
48,-5113.00892839189,387.8768103226296
49,-5298.639977459035,717.5398760226979
50,-4857.0,113.7673063757774
51,-5335.9609254041325,633.2854230031517
52,-5149.480388959367,370.7927950420446
53,-5320.609219088995,486.33801355324755
54,-5429.944110570832,543.661383390432
55,-5295.081256585117,791.1305943071139
56,-5200.679897606669,231.502935946077
57,-5348.791150807291,260.40153844751546
58,-5351.840740586052,76.28349999289274
59,-5538.813246516914,104.67979506122414
60,-5627.772270302411,465.5973878706634
61,-4981.63766068655,296.6781165455508
62,-5194.822784770033,265.0232480907514
63,-5201.531177668381,355.1253023211327
64,-4683.999999970641,216.05786263261254
65,-5440.118811979369,270.3071581319594
66,-5489.564083225726,400.67379538033674
67,-5160.89819021456,93.61621584492711
68,-5063.928734976921,541.1183630471844
69,-5478.411333875517,381.2784436769222
70,-5461.650291676776,541.0931310436624
71,-5389.333333333333,579.3188529068714
72,-4864.593268490478,464.7634657607943
73,-5310.80696974164,249.39001580408492
74,-5537.89683799582,166.29331775168993
75,-5143.658197940064,363.42479019726767
76,-5486.20315425201,156.35002949637646
77,-5304.499999949104,156.882918070414
78,-5442.76236869981,136.6272515663115
79,-4635.908818148787,251.1885680755294
80,-5428.560930358876,467.55298030228647
81,-5549.154286044676,202.06563552331386
82,-5346.48061454808,126.44215293932909
83,-5286.43994175763,354.9704938526864
84,-5460.6240442730605,68.69110009177496
85,-4915.98979039284,219.12001786477606
86,-4795.0,185.84133017173548
87,-5267.384275829419,253.4637488548061
88,-5232.339644050935,280.62614519682575
89,-5511.333333333333,190.7598839728451
90,-5296.478266719043,195.37187169842628
91,-5409.862845134331,136.670906151199
92,-5360.665591855802,189.97598260481294
93,-5391.895833253243,419.988952434731
94,-5232.39844143115,470.08973446283386
95,-5471.799999925065,248.6107800153534
96,-5101.617746667738,217.4121161759341
97,-5161.976398679333,327.9986953124919
98,-4690.399176339041,142.1848116058243
99,-5223.147356019006,118.90800201102371
100,-5007.333333333333,402.5038302095189
101,-5434.235126589011,91.10931210424837
102,-5485.274155250528,498.674532856072
103,-5059.352941131184,122.61689566951912
104,-4914.095469258116,349.9885024453123
105,-5435.014826678204,376.8589040993914
106,-5220.333333333333,130.15503575864173
107,-5209.0,463.3562344460253
108,-5566.673370927798,498.7643692152493
109,-5136.3933542855375,346.2345898681337
110,-5136.491931854748,236.11038505319328
111,-5315.080182939927,216.13858670807062
112,-5563.905747731399,341.5768909530953
113,-5289.265270083668,642.4056643175031
114,-5247.194303336882,551.121513773774
115,-4640.860869460426,340.6427802040692
116,-5148.957505194849,269.23537972465886
117,-5509.660770636197,277.5658092892474
118,-5505.515151410858,62.08608956647933
119,-5566.588050261336,616.2814993311366
120,-5132.096910605274,619.5440209737898
121,-5234.108854088717,502.1896643926354
122,-4678.4732439607515,359.44419503022135
123,-5372.489434743075,117.48808794202185
124,-5075.66666658151,139.17375224758172
125,-5353.778729317682,488.95230734981953
126,-5247.101882007474,105.8205827686972
127,-4994.628880753567,337.6274818233633
128,-5448.057786003944,555.5267750980789
129,-5716.8333332832,192.71113966540017
130,-4983.166666532254,323.6449957225478
131,-5188.318276993099,304.2994041537901
132,-5354.0,480.11561107716545
133,-5268.433899741773,495.8208098492282
134,-5855.301667488177,336.0556108838363
135,-5680.559307074208,543.1658170942411
136,-4839.125421565329,549.4788443909698
137,-5147.799999983818,210.31493054110476
138,-5258.493762494731,197.5509095550677
139,-5398.064920818099,440.5401789927426
140,-5500.058075882353,34.671300592095925
141,-5301.9999982939335,399.2630726761203
142,-5529.309864357308,539.8123042215371
143,-5022.648370799419,208.50877518922331
144,-5317.229194935285,419.35276572678146
145,-4853.0833332864895,610.9854914508743
146,-4951.193532391336,325.668532213064
147,-5222.081142861899,401.41137907288766
148,-4940.143518373835,276.47890108021977
149,-5560.204903968416,279.6630383942583
150,-5337.000914245463,109.1678363936792
151,-4956.1333333076755,541.0198270876393
152,-5309.932228981309,154.50840044923348
153,-5112.933333333333,86.90692339125397
154,-5264.245613866081,115.34717337478162
155,-5103.902777682133,161.34760368999937
156,-5515.456201708497,484.299936241111
157,-5475.317259896758,131.81175871853898
158,-5247.042290216718,128.07700293794525
159,-5381.750987699696,237.85438188817383
160,-5356.933333270335,584.0884892820687
161,-5650.709956125834,401.38898858910795
162,-5363.262833252788,524.1776834980182
163,-5151.609947153465,797.2791849968787
164,-4936.851911154982,415.61087245096275
165,-5022.033333285658,488.60720764735635
166,-5438.794958858718,369.9477785466583
167,-5328.473333249347,324.316900719491
168,-5280.830719395879,313.68245997742827
169,-5578.419179140466,250.57193377608974
170,-5683.778735415341,639.732131398918
171,-5255.233648720124,289.45736652908397
172,-5152.546222840353,440.1046568400185
173,-5176.060937377275,605.8150038492604
174,-5248.833333251904,182.57623975720577
